outer_cv,model,fold,n_train,n_test,R2,RMSE,MAE,SpearmanR,best_params,fit_seconds,fold_seconds
leave_one_day_out,Ridge,1,81,12,-0.6872952423523429,8.257398259116759,6.096628160657159,0.2937062937062937,{'model__alpha': np.float64(4641.588833612773)},6.382594199967571,6.3902532999636605
leave_one_day_out,Ridge,2,81,12,-0.9675570868954586,7.594965773927558,6.2681226079888335,0.46234746910330854,{'model__alpha': np.float64(2154.4346900318824)},0.32200909999664873,0.33055770001374185
leave_one_day_out,Ridge,3,81,12,-18.59687490828678,7.80036694652237,7.278189765131839,0.325744807777331,{'model__alpha': np.float64(0.46415888336127775)},0.3433382000075653,0.34926340001402423
leave_one_day_out,Ridge,4,81,12,-3.9126264560291695,3.6279570773657936,2.5707297838727676,-0.33684417879480183,{'model__alpha': np.float64(0.46415888336127775)},0.42378469998948276,0.43078230001265183
leave_one_day_out,Ridge,5,81,12,-0.43215194939187174,2.4229404599780118,2.2162981979332472,0.3356643356643357,{'model__alpha': np.float64(464.1588833612773)},0.43164429999887943,0.43798280000919476
leave_one_day_out,Ridge,6,81,12,-2.870379792052596,4.739283816530766,4.358185934753037,0.535902748278835,{'model__alpha': np.float64(464.1588833612773)},0.308718400017824,0.31474509998224676
leave_one_day_out,Ridge,7,81,12,-0.7450831799410702,4.325436292361814,3.8714883633231403,-0.6573426573426573,{'model__alpha': np.float64(464.1588833612773)},0.3195109000080265,0.3260082000051625
leave_one_day_out,Ridge,8,88,5,-0.6969021094346264,6.901064008128272,5.093631889291302,-0.6,{'model__alpha': np.float64(1000.0)},0.37616759998491034,0.3814950000378303
leave_one_day_out,Ridge,9,89,4,0.1494823753690211,3.3458043368807244,3.0522999701834586,0.7999999999999999,{'model__alpha': np.float64(1000.0)},0.30246530001750216,0.3075368000427261
leave_one_day_out,ElasticNet,1,81,12,-0.7271575687784657,8.354369326432955,6.194952147564375,0.31468531468531474,"{'model__alpha': np.float64(11.288378916846883), 'model__l1_ratio': 0.1}",2.9393447000184096,2.9441071000183
leave_one_day_out,ElasticNet,2,81,12,-1.0072706638028617,7.6712320286849875,6.373388499442445,0.5148869542286845,"{'model__alpha': np.float64(1.2742749857031321), 'model__l1_ratio': 0.9}",2.813223499979358,2.818177800043486
leave_one_day_out,ElasticNet,3,81,12,-17.92889399758902,7.6662723304860965,7.122880769860733,0.1786342494262783,"{'model__alpha': np.float64(0.03359818286283781), 'model__l1_ratio': 0.9}",3.702364300028421,3.710080899996683
leave_one_day_out,ElasticNet,4,81,12,-4.3261175235846965,3.7775536536810304,2.5277148925829405,-0.23859795997965133,"{'model__alpha': np.float64(0.007847599703514606), 'model__l1_ratio': 0.9}",3.107562399993185,3.113864899962209
leave_one_day_out,ElasticNet,5,81,12,-0.44958060833747737,2.437638936251343,2.2422301619837164,0.3356643356643357,"{'model__alpha': np.float64(2.6366508987303554), 'model__l1_ratio': 0.1}",3.146185100020375,3.15095039998414
leave_one_day_out,ElasticNet,6,81,12,-2.7529556656904144,4.666837112577343,4.3030196541361025,0.535902748278835,"{'model__alpha': np.float64(2.6366508987303554), 'model__l1_ratio': 0.1}",2.9775422000093386,2.982551099965349
leave_one_day_out,ElasticNet,7,81,12,-0.6825240262554704,4.247197834208366,3.8108604231840686,-0.6573426573426573,"{'model__alpha': np.float64(2.6366508987303554), 'model__l1_ratio': 0.1}",3.0669429000117816,3.0730356999556534
leave_one_day_out,ElasticNet,8,88,5,-0.6122186579229152,6.726662407746911,4.997503071466251,-0.7999999999999999,"{'model__alpha': np.float64(5.455594781168514), 'model__l1_ratio': 0.1}",4.121851800009608,4.126816600037273
leave_one_day_out,ElasticNet,9,89,4,0.1362650928844924,3.3717014815358315,3.207660875903631,0.7999999999999999,"{'model__alpha': np.float64(5.455594781168514), 'model__l1_ratio': 0.1}",3.189851000031922,3.1945985999773256
leave_one_day_out,PLSR,1,81,12,-0.8567051633984328,8.662019617802372,6.520414016167937,0.27272727272727276,{'model__n_components': 2},0.2194704000139609,0.22485310002230108
leave_one_day_out,PLSR,2,81,12,-0.9586051825848683,7.577668456982989,6.222020971193501,0.5218922189120679,{'model__n_components': 12},0.19225189997814596,0.19716619997052476
leave_one_day_out,PLSR,3,81,12,-24.44164166084303,8.887798272994814,8.316627983101728,0.4413316750531582,{'model__n_components': 14},0.22003480000421405,0.22488910000538453
leave_one_day_out,PLSR,4,81,12,-5.4531272286391035,4.158056466092162,3.3325525905428695,-0.3228090046783518,{'model__n_components': 10},0.20154009998077527,0.2063819000031799
leave_one_day_out,PLSR,5,81,12,-0.5716992167798978,2.5382413292447086,2.2068356505085585,0.2377622377622378,{'model__n_components': 2},0.23898570000892505,0.24438459996599704
leave_one_day_out,PLSR,6,81,12,-2.8631895509845986,4.734879541469573,4.339106701479984,0.4833632631534589,{'model__n_components': 2},0.2070203999755904,0.213051299971994
leave_one_day_out,PLSR,7,81,12,-1.2219966673230318,4.8808285816333825,4.416061597552762,-0.7062937062937064,{'model__n_components': 2},0.1970081000472419,0.20214310003211722
leave_one_day_out,PLSR,8,88,5,-1.2898230403896287,8.016570592905282,5.702209202387411,-0.7999999999999999,{'model__n_components': 2},0.23637749999761581,0.24298080004518852
leave_one_day_out,PLSR,9,89,4,0.06112997640129081,3.5152937134545756,3.33426193953387,0.7999999999999999,{'model__n_components': 2},0.21958839998114854,0.22432439995463938
leave_one_day_out,SVR_RBF,1,81,12,-0.9997806661207378,8.989569058772563,6.771006300832712,0.15384615384615385,"{'model__C': 1, 'model__epsilon': 0.01, 'model__gamma': 0.1}",0.40540420002071187,0.4108354999916628
leave_one_day_out,SVR_RBF,2,81,12,-1.3355155352369015,8.27472425531788,6.837145651346144,0.2907184843604137,"{'model__C': 10, 'model__epsilon': 0.2, 'model__gamma': 0.01}",0.39149800001177937,0.3974848000216298
leave_one_day_out,SVR_RBF,3,81,12,-15.098734854542176,7.069968795150641,5.275631120023599,-0.4343264103697747,"{'model__C': 100, 'model__epsilon': 0.2, 'model__gamma': 0.01}",0.44792960002087057,0.4542457000352442
leave_one_day_out,SVR_RBF,4,81,12,-1.1210371198377485,2.3838526281434897,1.6594702018749778,0.08070225116958794,"{'model__C': 10, 'model__epsilon': 0.2, 'model__gamma': 0.01}",0.40500389999942854,0.4111884000012651
leave_one_day_out,SVR_RBF,5,81,12,0.03669730757517364,1.987145099196416,1.3228049248983023,0.44755244755244755,"{'model__C': 1, 'model__epsilon': 0.2, 'model__gamma': 'scale'}",0.37393090000841767,0.38021329999901354
leave_one_day_out,SVR_RBF,6,81,12,-1.3211812921355088,3.670206133833817,3.2493761436402004,0.7670764828304892,"{'model__C': 1, 'model__epsilon': 0.2, 'model__gamma': 'scale'}",0.3635744000202976,0.36885759996948764
leave_one_day_out,SVR_RBF,7,81,12,-0.7921236267228804,4.383346839648285,3.8203805720696216,-0.5384615384615385,"{'model__C': 1, 'model__epsilon': 0.01, 'model__gamma': 0.01}",0.37094499997328967,0.3757649000035599
